code,title,quantity,cost,type,period
4,"Молочная продукция; яйца птиц; мед натуральный; пищевые продукты животного происхождения, в другом месте не поименованные или не включенные",84643.58,125330.9,I,2014-10 
5,"Продукты животного происхождения, в другом месте не поименованные или не включенные",10851.96,12615.8,I,2014-10 
6,"Живые деревья и другие растения; луковицы, корни и прочие аналогичные части растений; срезанные цветы и декоративная зелень",23642.72,38525.9,I,2014-10 
7,Овощи и некоторые съедобные корнеплоды и клубнеплоды,283648.86,256349.5,I,2014-10 
8,Съедобные фрукты и орехи; кожура цитрусовых плодов или корки дынь,748039.82,642002.4,I,2014-10 
9,"Кофе, чай, мате, или парагвайский чай, и пряности",8846.17,71189.9,I,2014-10 
10,Злаки,154236.88,81412.3,I,2014-10 
11,Продукция мукомольно-крупяной промышленности; солод; крахмалы; инулин; пшеничная клейковина,99456.72,38838.2,I,2014-10 
12,"Масличные семена и плоды; прочие семена, плоды и зерно; лекарственные растения и растения для технических целей; солома и фураж",32526.78,77723.1,I,2014-10 
13,"Шеллак природный неочищенный; камеди, смолы и прочие растительные соки и экстракты",631.96,9868.3,I,2014-10 
14,"Растительные материалы для изготовления плетеных изделий; прочие продукты растительного происхождения, в другом месте не поименованные или не включенные",178.07,183.6,I,2014-10 
15,Жиры и масла животного или растительного происхождения и продукты их расщепления; готовые пищевые жиры; воски животного или растительного происхождения,133776.63,142915.1,I,2014-10 
16,"Готовые продукты из мяса, рыбы или ракообразных, моллюсков или прочих водных беспозвоночных.",13694.44,45324.9,I,2014-10 
17,Сахар и кондитерские изделия из сахара,256926,162942.7,I,2014-10 
18,Какао и продукты из него,31278.86,141028.6,I,2014-10 
19,"Готовые продукты из зерна злаков, муки, крахмала или молока; мучные кондитерские изделия",72323.36,153764.3,I,2014-10 
20,"Продукты переработки овощей, фруктов, орехов или прочих частей растений.",85182.34,141316.5,I,2014-10 
21,Разные пищевые продукты,71687.23,255629.1,I,2014-10 
22,Алкогольные и безалкогольные напитки и уксус.,268305.37,215611.9,I,2014-10 
23,Остатки и отходы пищевой промышленности; готовые корма для животных,906226.66,503409.3,I,2014-10 
24,Табак и промышленные заменители табака.,16817.95,108377.8,I,2014-10 
25,"Соль; сера; земли и камень; штукатурные материалы, известь и цемент",3141330.04,241245.8,I,2014-10 
26,"Руды, шлак и зола.",402927.12,12477.9,I,2014-10 
27,"Топливо минеральное, нефть и продукты их перегонки; битуминозные вещества; воски минеральные",30653523.21,10226182.4,I,2014-10 
28,"Продукты неорганической химии; соединения неорганические или органические драгоценных металлов, редкоземельных металлов, радиоактивных элементов или изотопов",440740.31,225643.6,I,2014-10 
29,Органические химические соединения,349304.45,570437,I,2014-10 
